"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV743","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Phaeotheca","s__shathenatiana"
"ASV744","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV745","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales",NA,NA,NA
"ASV746","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV747","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV748","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV749","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"ASV750","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV751","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Platygloeales","f__Platygloeaceae",NA,NA
"ASV752","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV753","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Luellia",NA
"ASV754","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Sidera",NA
"ASV755","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV756","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV757","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV758","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV759","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Byssocorticiaceae","g__Leptosporomyces","s__galzinii"
"ASV760","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV761","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea",NA
"ASV762","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV763","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Phacidiales",NA,NA,NA
"ASV764","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mycosymbioces",NA
"ASV765","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladium","s__attenuatum"
"ASV766","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA
"ASV767","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"ASV768","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA
"ASV769","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV770","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV771","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__amaurocraea"
"ASV772","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV773","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV774","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV775","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV776","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV777","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Heterocephalacria","s__physciacearum"
"ASV778","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Lactarius","s__trivialis"
"ASV779","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Spirosphaera","s__minuta"
"ASV780","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV781","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV782","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV783","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Pertusariales","f__Megasporaceae","g__Aspicilia",NA
"ASV784","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV785","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV786","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV787","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium",NA
"ASV788","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"ASV789","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"ASV790","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV791","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV792","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__acetosus"
"ASV793","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA
"ASV794","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Squamanita","s__contortipes"
"ASV795","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV796","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV797","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA
"ASV798","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ascocorticiaceae","g__Ascocorticium",NA
"ASV799","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Squamanitaceae","g__Cystoderma","s__jasonis"
"ASV800","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV801","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__alliacea"
"ASV802","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Triscelophorus",NA
"ASV803","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV804","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV805","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__macrocystis"
"ASV806","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV807","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__basiparvispora"
"ASV808","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV809","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV810","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidales","f__Gloniaceae","g__Cenococcum",NA
"ASV811","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Japewia","s__tornoensis"
"ASV812","k__Fungi","p__Mucoromycota","c__Endogonomycetes",NA,NA,NA,NA
"ASV813","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mycosymbioces",NA
"ASV814","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Pseudopenidiella","s__podocarpi"
"ASV815","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV816","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae",NA,NA
"ASV817","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV818","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV819","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV820","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV821","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Leptobacillium","s__leptobactrum"
"ASV822","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV823","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV824","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV825","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola","s__grisea"
"ASV826","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella",NA
"ASV827","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV828","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA
"ASV829","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Cetraria","s__islandica"
"ASV830","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"ASV831","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"ASV832","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV833","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"ASV834","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV835","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae",NA,NA
"ASV836","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV837","k__Fungi","p__Ascomycota","c__Xylonomycetes","o__GS34",NA,NA,NA
"ASV838","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Camptobasidiaceae","g__Glaciozyma",NA
"ASV839","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV840","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV841","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__fallax"
"ASV842","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Oculimacula","s__yallundae"
"ASV843","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV844","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV845","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV846","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__basiparvispora"
"ASV847","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV848","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia",NA
"ASV849","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__fluviae"
"ASV850","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mycosymbioces",NA
"ASV851","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV852","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare"
"ASV853","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV854","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV855","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala",NA
"ASV856","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV857","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV858","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"ASV859","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV860","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,NA,NA
"ASV861","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV862","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV863","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Meristemomyces","s__frigidus"
"ASV864","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV865","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV866","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV867","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV868","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV869","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"ASV870","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV871","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV872","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Hyphodiscus",NA
"ASV873","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae",NA,NA
"ASV874","k__Fungi","p__Ascomycota","c__Geoglossomycetes","o__Geoglossales",NA,NA,NA
"ASV875","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Mollisia","s__cinereo-olivascens"
"ASV876","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV877","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV878","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__subsp._beringiana"
"ASV879","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV880","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV881","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__tetramera"
"ASV882","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae",NA,NA
"ASV883","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA
"ASV884","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__pachysporum"
"ASV885","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV886","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudogymnoascus","s__appendiculatus"
"ASV887","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV888","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV889","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"ASV890","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV891","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Troposporella","s__monospora"
"ASV892","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Camptobasidiaceae",NA,NA
"ASV893","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Mniaecia","s__gloeocapsae"
"ASV894","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces",NA
"ASV895","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria",NA
"ASV896","k__Fungi","p__Mucoromycota","c__Umbelopsidomycetes","o__Umbelopsidales","f__Umbelopsidaceae","g__Umbelopsis","s__changbaiensis"
"ASV897","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV898","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"ASV899","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"ASV900","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA
"ASV901","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV902","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales",NA,NA,NA
"ASV903","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV904","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Phaeotheca","s__shathenatiana"
"ASV905","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__fimbricystis"
"ASV906","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Sphaerophoraceae",NA,NA
"ASV907","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV908","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV909","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV910","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales","f__Archaeorhizomycetaceae","g__Archaeorhizomyces",NA
"ASV911","k__Fungi","p__Basidiomycota","c__Geminibasidiomycetes","o__Geminibasidiales","f__Geminibasidiaceae","g__Basidioascus",NA
"ASV912","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV913","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"ASV914","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella",NA
"ASV915","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae",NA,NA
"ASV916","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Nadsonia","s__starkeyi-henricii"
"ASV917","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV918","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV919","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnum",NA
"ASV920","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"ASV921","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV922","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV923","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV924","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Chalara",NA
"ASV925","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"ASV926","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Oberwinklerozyma",NA
"ASV927","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV928","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"ASV929","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV930","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Spirosphaera","s__minuta"
"ASV931","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV932","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"ASV933","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV934","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","g__Phenoliferia","s__psychrophila"
"ASV935","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"ASV936","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV937","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV938","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV939","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV940","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV941","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Pleotrichocladium","s__opacum"
"ASV942","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Hyphodontiella",NA
"ASV943","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Micareaceae","g__Micarea","s__deminuta"
"ASV944","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Trechispora",NA
"ASV945","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"ASV946","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22",NA,NA,NA
"ASV947","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV948","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV949","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Micropeltidaceae",NA,NA
"ASV950","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV951","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"ASV952","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA
"ASV953","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV954","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Camptobasidiaceae","g__Glaciozyma",NA
"ASV955","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__alpinus"
"ASV956","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Trichocladium","s__opacum"
"ASV957","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria","s__bicolor"
"ASV958","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae",NA,NA
"ASV959","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"ASV960","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcaceae","g__Sclerococcum","s__ahtii"
"ASV961","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV962","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__anomalus"
"ASV963","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Trechispora",NA
"ASV964","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__armillatus"
"ASV965","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales",NA,NA,NA
"ASV966","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV967","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV968","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV969","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV970","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","g__Phenoliferia","s__psychrophila"
"ASV971","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV972","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV973","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV974","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__badia"
