BC4	GH26	18
BC4	GH27	7
BC4	GH28	2
BC4	GH29	114
BC4	GH3	366
BC4	GH30	88
BC4	GH31	289
BC4	GH32	18
BC4	GH33	38
BC4	GH37	37
BC4	GH38	135
BC4	GH39	22
BC4	GH43	92
BC4	GH47	4
BC4	GH5	355
BC4	GH51	105
BC4	GH52	4
BC4	GH54	16
BC4	GH57	28
BC4	GH59	3
BC4	GH6	18
BC4	GH63	4
BC4	GH65	132
BC4	GH66	17
BC4	GH76	2
BC4	GH77	174
BC4	GH8	27
BC4	GH82	2
BC4	GH88	15
BC4	GH9	333
BC4	GH94	161
BC4	GH95	57
BC4	GH97	1
BC4	GT1	28
BC4	GT14	3
BC4	GT15	2
BC4	GT19	46
BC4	GT2	738
BC4	GT20	148
BC4	GT21	68
BC4	GT22	3
BC4	GT25	1
BC4	GT26	68
BC4	GT28	103
BC4	GT3	10
BC4	GT30	72
BC4	GT35	241
BC4	GT36	52
BC4	GT39	35
BC4	GT4	620
BC4	GT41	9
BC4	GT48	2
BC4	GT5	74
BC4	GT51	295
BC4	GT62	1
BC4	GT66	3
BC4	GT70	1
BC4	GT71	4
BC4	GT8	1
BC4	GT81	27
BC4	GT84	151
BC4	GT85	4
BC4	GT87	60
BC4	GT89	6
BC4	GT9	116
BC4	PL11	4
BC4	PL21	2
BC4	PL4	23
BC4	PL8	6
BC5	AA9	2
BC5	CBM1	2
BC5	CBM15	4
BC5	CBM20	3
BC5	CBM42	5
BC5	CBM48	324
BC5	CBM50	4
BC5	CE1	34
BC5	CE10	110
BC5	GH1	4
BC5	GH101	3
BC5	GH102	16
BC5	GH103	11
BC5	GH105	5
BC5	GH116	15
BC5	GH121	1
BC5	GH13	682
BC5	GH130	3
BC5	GH15	97
BC5	GH18	66
BC5	GH19	3
BC5	GH20	36
BC5	GH23	46
BC5	GH26	33
BC5	GH29	67
BC5	GH3	214
BC5	GH30	25
BC5	GH31	156
BC5	GH32	14
BC5	GH33	27
BC5	GH37	30
BC5	GH38	70
BC5	GH39	12
BC5	GH43	57
BC5	GH47	4
BC5	GH5	197
BC5	GH51	68
BC5	GH54	5
BC5	GH57	12
BC5	GH6	5
BC5	GH63	6
BC5	GH65	94
BC5	GH66	2
BC5	GH73	2
BC5	GH74	1
BC5	GH76	4
BC5	GH77	80
BC5	GH8	13
BC5	GH88	2
