,Plot_no,Date,Year,Month,Treatment,Vegetation,Status,Replicate,Light,Dark
134,BC8,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.037,0.067
135,BC8,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.041,0.071
136,HC8,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.042,0.043
137,HC8,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.073,0.186
138,HC8,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.098,0.105
139,HC9,2022-07-30,2022,7,HC,Cassiope,Healthy,1,-0.03,0.055
140,HC9,2022-07-30,2022,7,HC,Cassiope,Healthy,2,-0.064,0.045
141,HC9,2022-07-30,2022,7,HC,Cassiope,Healthy,3,-0.07,0.036
142,BC9,2022-07-30,2022,7,BC,Cassiope,Browning,1,0.031,0.04
143,BC9,2022-07-30,2022,7,BC,Cassiope,Browning,2,0.041,0.069
144,BC9,2022-07-30,2022,7,BC,Cassiope,Browning,3,0.041,0.064
145,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,1,-0.052,0.069
146,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,2,-0.037,0.123
147,HE1,2022-07-30,2022,7,HE,Empetrum,Healthy,3,-0.048,0.148
148,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,1,0.046,0.08
149,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,2,0.064,0.067
150,BE1,2022-07-30,2022,7,BE,Empetrum,Browning,3,0.057,0.072
151,BE2a,2022-07-31,2022,7,BE,Empetrum,Browning,1,0.052,0.069
152,BE2a,2022-07-31,2022,7,BE,Empetrum,Browning,2,0.016,0.128
153,BE2a,2022-07-31,2022,7,BE,Empetrum,Browning,3,0.029,0.14
154,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,1,0.018,0.074
155,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,2,0.026,0.092
156,BE2,2022-07-31,2022,7,BE,Empetrum,Browning,3,0.017,0.076
157,BE3,2022-07-31,2022,7,BE,Empetrum,Browning,1,0.082,0.138
