Run_Sample_Name,Sample Name Given from pH measurements,Sample Processing #_SOIL BAGS,Plot,Year,Sample_type,Status,Vegetation,TOC,TN,Run,Date / Time,SampleRemaining,Dilution_Factor,Soil_dry_weight,TOC_adj,TN_adj
212,189,194,BC8,2022,BSC,Browning,Cassiope,554.7,30.55,3,2022-12-12 19:43,Yes,1,5.0425,110.0049579,6.058502727
213,190,178,HC9,2022,BSC,Healthy,Cassiope,459.7,19.59,3,2022-12-13 5:03,Yes,2,5.106,180.0626714,7.673325499
214,194,192,HC6,2022,BSC,Healthy,Cassiope,516.8,8.919,3,2022-12-13 5:15,NSL,4,4.8748,424.0584229,7.31845409
215,191,199,HC7,2022,BSC,Healthy,Cassiope,1248,29.64,3,2022-12-13 3:53,NSL,1,4.0538,307.8592925,7.311658197
217,193,185,HC4,2022,BSC,Healthy,Cassiope,970.7,25.16,3,2022-12-13 3:04,NSL,1.818181818,5.1797,340.7357744,8.831680318
219,188,200,HC8,2022,BSC,Healthy,Cassiope,441,12.74,3,2022-12-13 3:30,NESL,2.857142857,5.0514,249.4358,7.20592311
122_diluted,64,32,BC3,2020,BSC,Browning,Cassiope,86.95,3.754,3,2022-12-13 1:37,Yes,20,5.0324,345.5607662,14.91932279
123_diluted,73,13,BE6,2020,BSC,Browning,Empetrum,69.12,1.494,3,2022-12-13 1:06,Yes,20,2.0933,660.3926814,14.27411265
126_diluted,66,29,HC5,2020,BSC,Healthy,Cassiope,60.89,1.491,3,2022-12-13 1:48,Yes,20,2.0448,595.5594679,14.58333333
127_diluted,76,35,BC6,2020,BSC,Browning,Cassiope,34.17,2.525,3,2022-12-13 1:27,Yes,20,2.1926,311.6847578,23.03201678
128_diluted,54,26,HC2,2020,BSC,Healthy,Cassiope,86.28,2.794,3,2022-12-13 1:16,Yes,20,5.0173,343.9300022,11.13746437
135_diluted,78,34,BC4,2020,BSC,Browning,Cassiope,90.43,4.19,3,2022-12-13 1:58,Yes,20,5.0641,357.1414467,16.54785648
215_diluted,191,199,HC7,2022,BSC,Healthy,Cassiope,68.03,1.544,3,2022-12-13 5:25,NSL,20,4.0538,335.6356998,7.617544033
221,200,198,HE1,2022,BSC,Healthy,Empetrum,1024,23.49,4,2022-12-14 0:34,NSL,1.666666667,5.0348,338.9740738,7.775879876
222,195,187,BC5,2022,BSC,Browning,Cassiope,830.8,25.77,4,2022-12-13 22:37,NSL,2,5.2641,315.6474991,9.790847438
223,207,184,BC4,2022,BSC,Browning,Cassiope,508.7,26.93,4,2022-12-13 21:46,Yes,1,5.1626,98.53562159,5.216363848
224,201,179,BC6,2022,BSC,Browning,Cassiope,533.5,25.54,4,2022-12-13 21:21,Yes,1,5.025,106.1691542,5.082587065
225,204,177,BE1,2022,BSC,Browning,Empetrum,598.2,28.34,4,2022-12-14 0:47,Yes,1.333333333,5.1696,154.2865986,7.309398535
226,206,180,HC3,2022,BSC,Healthy,Cassiope,1053,31.27,4,2022-12-13 22:52,NESL,1.428571429,5.0075,300.4065331,8.920904358
227,208,191,BC1,2022,BSC,Browning,Cassiope,386.3,19.94,4,2022-12-13 21:58,Yes,1,5.1722,74.68775376,3.855226016
228,202,188,BC3,2022,BSC,Browning,Cassiope,737.9,34.38,4,2022-12-13 20:55,Yes,1.333333333,5.085,193.4841036,9.014749263
229,199,189,BC7,2022,BSC,Browning,Cassiope,808.4,34.04,4,2022-12-14 0:06,Yes,1,5.0153,161.1867685,6.787231073
230,197,183,HC2,2022,BSC,Healthy,Cassiope,1203,38.24,4,2022-12-14 0:20,NESL,1.333333333,5.1206,313.2445417,9.957166478
231,205,195,BE2,2022,BSC,Browning,Empetrum,486.2,17.27,4,2022-12-13 23:39,NESL,1.818181818,5.1591,171.3477157,6.086332888
232,203,181,HC5,2022,BSC,Healthy,Cassiope,965.9,18.9,4,2022-12-14 1:01,NESL,1.666666667,3.6113,445.7766825,8.722620663
233,198,190,BC2,2022,BSC,Browning,Cassiope,890.3,35.29,4,2022-12-13 22:24,Yes,1,5.1576,172.6190476,6.842329766
234,209,182,BC9,2022,BSC,Browning,Cassiope,616.8,29.03,4,2022-12-13 22:11,Yes,1,5.037,122.4538416,5.763351201
236,196,193,HE2,2022,BSC,Healthy,Empetrum,698.2,16.19,4,2022-12-13 21:34,NSL,1,3.5909,194.4359353,4.508619009
212,77,17,BE2,2020,BSC,Browning,Empetrum,193.4,3.77,5,2023-01-23 21:17,Y,20,5.01,772.0558882,15.03393214
213,68,16,BE1,2020,BSC,Browning,Empetrum,240.2,4.63,5,2023-01-24 0:35,Y,20,5.03,955.0695825,18.40159046
214,55,36,BC7,2020,BSC,Browning,Cassiope,112.7,3.71,5,2023-01-23 20:29,NESL,20,5.05,446.3366337,14.7049505
215,67,20,BE5,2020,BSC,Browning,Empetrum,211.6,3.59,5,2023-01-23 20:43,NSL,20,5.03,841.3518887,14.26242545
216,60,23,HE7,2020,BSC,Healthy,Empetrum,253.7,4.55,5,2023-01-23 18:10,NSL,20,4.77,1063.731656,19.09014675
217,53,22,BE3,2020,BSC,Browning,Empetrum,181,2.78,5,2023-01-23 17:58,NSL,20,4.51,802.6607539,12.33259424
218,71,19,HE6,2020,BSC,Healthy,Empetrum,134.1,1.36,5,2023-01-23 18:43,NSL,20,2.8,957.8571429,9.692857143
219,61,21,HE2,2020,BSC,Healthy,Empetrum,202.6,2.87,5,2023-01-23 18:32,NSL,20,5.01,808.7824351,11.46906188
220,197,183,HC2,2022,BSC,Healthy,Cassiope,56,1.68,5,2023-01-23 20:08,NSL,20,2.57,435.7976654,13.06614786
221,65,12,HE5,2020,BSC,Healthy,Empetrum,118.9,2.1,5,2023-01-23 17:35,Y,20,2.7,880.7407407,15.57777778
221(5),65,12,HE5,2020,BSC,Healthy,Empetrum,465.2,7.96,5,2023-01-23 17:47,Y,4,2.7,689.1851852,11.78518519
222,62,24,HE3,2020,BSC,Healthy,Empetrum,221.4,3.76,5,2023-01-23 19:04,NSL,20,4.71,940.1273885,15.97876858
