Variable	Description	Units	Method / Notes	Appears in
PAR_in	Photosynthetically active radiation (PAR) inside the chamber during the gas flux measurement	?mol photons m?² s?¹	Instantaneous measurement recorded by the chamber-mounted PAR sensor during each chamber closure.	"curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
PAR_out	Photosynthetically active radiation (PAR) outside the chamber during the gas flux measurement	?mol photons m?² s?¹	Instantaneous measurement recorded by the external PAR sensor during each chamber closure.	"curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
Air_temp	Ambient air temperature 	°C	"Measured immediately outside the plot using a temperature sensor when available. If the sensor was unavailable, air temperature was measured manually once per plot during each set of triplicate chamber measurements."	"Browning_SM_ST.csv, curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
Windspeed_ms	Field conditions during gas flux measurement	-	Estimated in the field	"curated_flux.csv, Latnja_Browning_FluxCalRoutput_ALL_20230221.csv"
Run	Analytical run number	-	"applicable to sample runs on the isotope ratio mass spectrometer (Sercon Group 20-22), and the TOC-L and TNM-L unit (Shimazu Analytical)"	"Browning_lab_CN.csv, Browning_lab_TOC_TN_v2.csv"
Sample_type	Referring to what type of sample was collected	-	"Soil core (Core), biological soil crust (BSC), bulk density core (BDC) "	"Browning_lab_CN.csv, Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv, Browning_lab_TOC_TN_v2.csv"
N_percent	Total nitrogen concentration 	% dry weight	Determined by isotope ratio mass spectrometry (IRMS) from samples (soil cores and BSCs) collected in August 2020. Note: this is the same data that is found in Metadata.csv except in that file the column name specifies whether it was core or BSC.	Browning_lab_CN.csv
delta_15N 	Stable nitrogen isotope composition (?¹?N)	‰	Determined by isotope ratio mass spectrometry (IRMS) from samples (soil cores and BSCs) collected in August 2020. Note: this is the same data that is found in Metadata.csv except in that file the column name specifies whether it was core or BSC.	Browning_lab_CN.csv
C_percent 	Total carbon concentration 	% dry weight	Determined by isotope ratio mass spectrometry (IRMS) from samples (soil cores and BSCs) collected in August 2020. Note: this is the same data that is found in Metadata.csv except in that file the column name specifies whether it was core or BSC.	Browning_lab_CN.csv
delta_13C 	Stable carbon isotope composition (?¹³C)	‰	Determined by isotope ratio mass spectrometry (IRMS) from samples (soil cores and BSCs) collected in August 2020. Note: this is the same data that is found in Metadata.csv except in that file the column name specifies whether it was core or BSC.	Browning_lab_CN.csv
delta_18O 	Stable oxygen isotope composition (?¹?O)	‰	Determined by isotope ratio mass spectrometry (IRMS) from samples (soil cores and BSCs) collected in August 2020. Note: this is the same data that is found in Metadata.csv except in that file the column name specifies whether it was core or BSC.	Browning_lab_CN.csv
Sampling_date	Date of sample collection	-		"Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv"
Processing_date	Date of sample processing in the laboratory	-		"Browning_lab_pH.csv, Browning_lab_SM.csv, Browning_lab_SOM.csv"
Soil_dry_weight_h2o	Dry soil weight	g	used for pH measurement	Browning_lab_pH.csv
pH_H2O	pH of sample	pH	"Measured in a 1:5 soil:water suspension from 10 cm soil cores (Core), biological soil crusts (BSC), bulk density cores (BDC)"	Browning_lab_pH.csv
Tray_weight_g	Mass of the empty aluminum drying tray	g	Measured prior to adding the soil sample	Browning_lab_SM.csv
Soil_wet_weight_g	Mass of the wet soil sample	g	Measured prior to oven drying. Excludes the tray weight	Browning_lab_SM.csv
Tray_and_dry_soil_weight_g	Combined mass of the drying tray and oven-dried soil sample	g	Measured after drying at 105 °C for 48 h	Browning_lab_SM.csv
dry_soil_weight_g	Mass of the oven-dried soil sample	g	Calculated as Tray_and_dry_soil_weight_g ? Tray_weight_g. Used to calculate gravimetric water content (GWC)	Browning_lab_SM.csv
GWC	Gravimetric water content  	g water g?¹ dry soil	Calculated as (wet soil weight ? dry soil weight) ÷ dry soil weight after oven drying at 105 °C for 48 h.	Browning_lab_SM.csv
g_swc_perc	Gravimetric soil water content expressed as a percentage of dry soil mass	%	Calculated as GWC × 100	Browning_lab_SM.csv
Crucible_weight_g	Mass of the empty porcelain crucible.	g	Measured prior to adding the oven-dried soil sample.	Browning_lab_SOM.csv
Dry_soil_weight_g	Mass of the oven-dried soil sample prior to combustion.	g	Measured after drying at 105 °C for 48 h.	Browning_lab_SOM.csv
Crucible_+_burn_soil_weight_g	Combined mass of the crucible and soil after loss-on-ignition.	g	Measured after combustion at 550 °C for 6 h.	Browning_lab_SOM.csv
burn_soil_weight_g	Mass of the soil remaining after loss-on-ignition.	g	Calculated as Crucible_+_burn_soil_weight_g ? Crucible_weight_g.	Browning_lab_SOM.csv
